security_code,security_short_name,company_name,norm_short,norm_company
000025.SZ,特力A,深圳市特力(集团)股份有限公司,特力A,深圳市特力
000030.SZ,富奥股份,富奥汽车零部件股份有限公司,富奥,富奥汽车零部件
000338.SZ,潍柴动力,潍柴动力股份有限公司,潍柴动力,潍柴动力
000550.SZ,江铃汽车,江铃汽车股份有限公司,江铃汽车,江铃汽车
000559.SZ,万向钱潮,万向钱潮股份公司,万向钱潮,万向钱潮
000570.SZ,苏常柴A,常柴股份有限公司,苏常柴A,常柴
000572.SZ,海马汽车,海马汽车股份有限公司,海马汽车,海马汽车
000581.SZ,威孚高科,无锡威孚高科技集团股份有限公司,威孚高科,无锡威孚高科技集团
000589.SZ,贵州轮胎,贵州轮胎股份有限公司,贵州轮胎,贵州轮胎
000599.SZ,青岛双星,青岛双星股份有限公司,青岛双星,青岛双星
000625.SZ,长安汽车,重庆长安汽车股份有限公司,长安汽车,重庆长安汽车
000678.SZ,襄阳轴承,襄阳汽车轴承股份有限公司,襄阳轴承,襄阳汽车轴承
000700.SZ,模塑科技,江南模塑科技股份有限公司,模塑科技,江南模塑科技
000757.SZ,浩物股份,四川浩物机电股份有限公司,浩物,四川浩物机电
000800.SZ,一汽解放,一汽解放集团股份有限公司,一汽解放,一汽解放集团
000816.SZ,智慧农业,江苏农华智慧农业科技股份有限公司,智慧农业,江苏农华智慧农业科技
000868.SZ,安凯客车,安徽安凯汽车股份有限公司,安凯客车,安徽安凯汽车
000880.SZ,潍柴重机,潍柴重机股份有限公司,潍柴重机,潍柴重机
000887.SZ,中鼎股份,安徽中鼎密封件股份有限公司,中鼎,安徽中鼎密封件
000901.SZ,航天科技,航天科技控股集团股份有限公司,航天科技,航天科技控股集团
000903.SZ,云内动力,昆明云内动力股份有限公司,云内动力,昆明云内动力
000913.SZ,钱江摩托,浙江钱江摩托股份有限公司,钱江摩托,浙江钱江摩托
000951.SZ,中国重汽,中国重汽集团济南卡车股份有限公司,中国重汽,中国重汽集团济南卡车
000957.SZ,中通客车,中通客车股份有限公司,中通客车,中通客车
000980.SZ,众泰汽车,众泰汽车股份有限公司,众泰汽车,众泰汽车
000981.SZ,山子股份,山子高科技股份有限公司,山子,山子高科技
000996.SZ,中国中期,中国中期投资股份有限公司,中国中期,中国中期投资
001260.SZ,坤泰股份,山东坤泰新材料科技股份有限公司,坤泰,山东坤泰新材料科技
