stock_code,stock_name,year,total_sales_volume,total_production_volume,nev_sales_volume,nev_production_volume,reason
600006.SH,东风股份,2016.0,2475.0,2874.0,,,unmatched_enterprise
600006.SH,东风股份,2017.0,7832.0,9143.0,,,unmatched_enterprise
600006.SH,东风股份,2018.0,19226.0,17925.0,14336.0,10256.0,unmatched_enterprise
600006.SH,东风股份,2019.0,9616.0,10942.0,36316.0,37808.0,unmatched_enterprise
600006.SH,东风股份,2020.0,1382.0,232.0,13338.0,10007.0,unmatched_enterprise
600006.SH,东风股份,2021.0,298.0,275.0,26332.0,26168.0,unmatched_enterprise
600006.SH,东风股份,2022.0,1035.0,776.0,29652.0,30390.0,unmatched_enterprise
00175.HK,吉利汽车,2015.0,1949.0,1827.0,,,unmatched_enterprise
00175.HK,吉利汽车,2016.0,20109.0,20669.0,,,unmatched_enterprise
00175.HK,吉利汽车,2017.0,47759.0,53555.0,,,unmatched_enterprise
00175.HK,吉利汽车,2018.0,54343.0,54973.0,,,unmatched_enterprise
00175.HK,吉利汽车,2019.0,70599.0,73329.0,,,unmatched_enterprise
00175.HK,吉利汽车,2020.0,30027.0,26550.0,,,unmatched_enterprise
00175.HK,吉利汽车,2021.0,83410.0,85453.0,,,unmatched_enterprise
00175.HK,吉利汽车,2022.0,272712.0,300429.0,,,unmatched_enterprise
