security_code,enterprise_name,year,revenue,net_profit,total_assets,total_liabilities,current_ratio,quick_ratio,roe,gross_margin
000025.SZ,特力A,2006,1139756816.12,-83908383.58,844119585.92,642586732.79,0.5315,0.3604,-0.597953,0.088106
000025.SZ,特力A,2007,991036624.74,8142303.89,837091842.87,630459473.04,0.5506,0.4127,0.078219,0.110738
000025.SZ,特力A,2008,637896590.03,1844898.31,614544088.77,427557262.86,0.4048,0.2439,0.028003,0.150366
000025.SZ,特力A,2009,432676350.2,8123510.38,611487117.65,416407732.81,0.6381,0.5571,0.0369,0.161304
000025.SZ,特力A,2010,386348379.27,3922307.28,599555953.28,399758119.62,0.5945,0.4772,0.02045,0.169564
000025.SZ,特力A,2011,403282098.8,1250196.41,570693268.15,369311616.13,0.4311,0.3198,0.012164999999999999,0.168661
000025.SZ,特力A,2012,419642661.31,971919.19,644911292.0,443849775.76,0.4781,0.3112,0.038696,0.19831900000000002
000025.SZ,特力A,2013,486729308.18,3339435.3,702180174.03,507580096.43,0.5148,0.3197,0.039403,0.203749
000025.SZ,特力A,2014,464987527.8,8566208.16,806324777.8,603994417.71,0.4165,0.2857,0.053915,0.16250699999999998
000025.SZ,特力A,2015,303726790.57,42738043.55,1168667927.49,290079523.85,0.013699,0.013083000000000001,0.049263,0.282275
000025.SZ,特力A,2016,324240841.9,27617932.54,1189001074.98,280464738.8,0.013861000000000002,0.013416999999999998,0.030372,0.293603
000025.SZ,特力A,2017,347237289.8,65781568.71,1403314594.42,405291020.53,0.013146,0.012782,0.069413,0.267777
000025.SZ,特力A,2018,414238778.96,86139979.36,1658295531.0,559013315.13,0.013689,0.013451,0.082768,0.197691
000025.SZ,特力A,2019,571072893.9,218807234.18,1645782144.03,306569147.24,0.022789999999999998,0.022077,0.172837,0.245243
000025.SZ,特力A,2020,424419203.34,60305229.91,1708442301.15,323796199.34,0.020714999999999997,0.019999,0.044001,0.24776900000000002
000025.SZ,特力A,2021,508520026.18,132052531.08,1859645205.43,402455379.63,0.024603,0.023743,0.09143599999999999,0.305967
000030.SZ,富奥股份,2006,1261613.22,18660262.04,29826570.27,1646144851.66,0.0059,0.0038,,1.0
000030.SZ,富奥股份,2007,1802714.1,-22075217.13,27154777.79,1665548276.31,0.0065,0.0044,,1.0
000030.SZ,富奥股份,2008,1699473.38,-85188819.04,17301167.93,1740413495.49,0.0017,0.0017,,1.0
000030.SZ,富奥股份,2009,1853970.96,8102735.47,41891434.31,1756901026.4,0.0288,0.0288,,1.0
000030.SZ,富奥股份,2010,1480358.31,-388775880.0,73920089.84,2177242069.19,0.0334,0.0334,,1.0
000030.SZ,富奥股份,2011,109006.8,1456064213.41,66169347.65,64127764.83,0.010318,0.010318,713.203598,1.0
000030.SZ,富奥股份,2012,4828316433.7,532657267.44,6269921759.76,2514792124.11,0.013762000000000002,0.01111,0.143424,0.173223
000030.SZ,富奥股份,2013,5227802390.42,590379057.18,7110347411.96,2862417622.96,0.014491,0.011805000000000001,0.143082,0.182956
000030.SZ,富奥股份,2014,5010012325.87,672414249.3,7271114435.0,2508871951.07,0.016931,0.013847,0.14552400000000001,0.186391
000030.SZ,富奥股份,2015,4331513542.49,524945705.62,8085376947.33,2780460894.36,0.01927,0.016327,0.107424,0.184
000030.SZ,富奥股份,2016,5856937609.16,676619091.91,9072987293.6,3298031506.11,0.017517,0.014912000000000002,0.13078900000000002,0.18608899999999998
000030.SZ,富奥股份,2017,7193263144.16,818894935.42,10364348492.24,4039925411.17,0.016868,0.014873,0.144598,0.185146
000030.SZ,富奥股份,2018,7852536417.15,873668594.33,11682128691.55,4554212656.2,0.015747999999999998,0.013873,0.138185,0.155321
000030.SZ,富奥股份,2019,10063808026.15,883237279.07,12920598874.83,5466923380.9,0.014976,0.012914000000000002,0.133777,0.139792
000030.SZ,富奥股份,2020,11113430326.49,908467059.68,14461488628.26,6186802631.33,0.015283,0.013255999999999999,0.12410500000000001,0.130479
