security_code,enterprise_name,year,lawsuit_count,lawsuit_total_amount
002592.SZ,ST八菱,2021.0,3,336000000.0
002592.SZ,ST八菱,2022.0,7,62469400.0
600303.SH,ST曙光,2004.0,1,3043038.91
600303.SH,ST曙光,2017.0,1,0.0
600303.SH,ST曙光,2022.0,5,0.0
002085.SZ,万丰奥威,2008.0,1,2993306.01
002085.SZ,万丰奥威,2010.0,1,0.0
002085.SZ,万丰奥威,2011.0,1,0.0
002085.SZ,万丰奥威,2016.0,1,182800.0
002085.SZ,万丰奥威,2022.0,1,0.0
002590.SZ,万安科技,2013.0,1,1885522.0
002590.SZ,万安科技,2019.0,2,6544743.83
002590.SZ,万安科技,2020.0,3,5395492.89
002590.SZ,万安科技,2021.0,5,29074996.15
300643.SZ,万通智控,2017.0,2,33000000.0
300643.SZ,万通智控,2018.0,1,0.0
300643.SZ,万通智控,2022.0,1,45000000.0
601163.SH,三角轮胎,2016.0,1,51250000.0
600679.SH,上海凤凰,2014.0,1,0.0
600679.SH,上海凤凰,2018.0,2,64020000.0
600679.SH,上海凤凰,2019.0,14,117431100.0
600679.SH,上海凤凰,2020.0,1,9736030.29
605128.SH,上海沿浦,2021.0,2,24716526.64
605128.SH,上海沿浦,2022.0,2,9600000.0
600822.SH,上海物贸,2004.0,1,740363.68
600822.SH,上海物贸,2005.0,2,3100000.0
600822.SH,上海物贸,2008.0,1,0.0
600822.SH,上海物贸,2011.0,1,10684800.0
600822.SH,上海物贸,2014.0,4,89362017.0
600822.SH,上海物贸,2015.0,3,66850500.0
600822.SH,上海物贸,2016.0,1,245990723.0
600822.SH,上海物贸,2017.0,4,10306470.2493
600178.SH,东安动力,2015.0,1,12957250.0
600178.SH,东安动力,2016.0,1,262644524.0
600178.SH,东安动力,2022.0,2,14400000.0
600006.SH,东风汽车,2021.0,1,577178236.12
600081.SH,东风科技,2020.0,2,35801418.21
600081.SH,东风科技,2021.0,1,0.0
600081.SH,东风科技,2022.0,2,46064257.24
601965.SH,中国汽研,2017.0,1,32986670.0
301215.SZ,中汽股份,2022.0,1,3196800.0
688737.SH,中自科技,2021.0,1,40620000.0
600818.SH,中路股份,2004.0,1,10000000.0
600818.SH,中路股份,2005.0,9,96845900.0
600818.SH,中路股份,2007.0,1,0.0
600818.SH,中路股份,2015.0,2,56560000.0
000957.SZ,中通客车,2005.0,1,80000000.0
000957.SZ,中通客车,2019.0,24,323092000.0
000887.SZ,中鼎股份,2005.0,14,423313794.35
300304.SZ,云意电气,2017.0,4,11235500.0
300304.SZ,云意电气,2022.0,3,4579400.0
002284.SZ,亚太股份,2015.0,1,13051500.0
600213.SH,亚星客车,2004.0,1,10000000.0
600213.SH,亚星客车,2006.0,1,63000000.0
600213.SH,亚星客车,2014.0,1,5978100.0
600213.SH,亚星客车,2017.0,1,19010000.0
600213.SH,亚星客车,2021.0,8,165257346.01
600213.SH,亚星客车,2022.0,17,286505714.52
600213.SH,亚星客车,2023.0,5,149690256.92000002
002662.SZ,京威股份,2015.0,1,0.0
002662.SZ,京威股份,2016.0,1,533819707.0
002662.SZ,京威股份,2022.0,2,558489255.02
002863.SZ,今飞凯达,2017.0,3,432661100.0
000980.SZ,众泰汽车,2019.0,1,544647147.78
603596.SH,伯特利,2018.0,7,105200189.64999999
603596.SH,伯特利,2022.0,12,74879741.22999999
002664.SZ,信质集团,2021.0,1,0.0
002105.SZ,信隆健康,2013.0,1,0.0
002105.SZ,信隆健康,2017.0,1,0.0
002105.SZ,信隆健康,2021.0,1,0.0
