enterprise_name,year,sales_volume,nev_sales_volume
UNMATCHED::上海万象,2018,0,188
UNMATCHED::上海万象,2019,0,3500
UNMATCHED::上海万象,2020,0,9508
UNMATCHED::上海万象,2021,0,4004
UNMATCHED::上海万象,2022,0,8120
UNMATCHED::上海汽车集团股份公司乘用车郑州分,2019,0,132
UNMATCHED::上海申沃客车,2018,0,40
UNMATCHED::上海申沃客车,2019,0,4428
UNMATCHED::上海申沃客车,2020,0,7984
UNMATCHED::上海申沃客车,2021,0,3212
UNMATCHED::上海申沃客车,2022,0,5372
UNMATCHED::上海申龙,2018,0,5496
UNMATCHED::上海申龙,2019,0,13564
UNMATCHED::上海申龙,2020,0,2767
UNMATCHED::上海申龙,2021,0,7484
UNMATCHED::上海申龙,2022,0,7612
UNMATCHED::东南,2017,174,0
UNMATCHED::东南,2018,6643,3820
UNMATCHED::东南,2019,1534,9100
UNMATCHED::东南,2020,203,159
UNMATCHED::东南,2021,574,4
UNMATCHED::东南,2022,0,132
UNMATCHED::中兴智能,2019,0,480
UNMATCHED::中兴智能,2020,0,1460
UNMATCHED::中兴智能,2021,0,1024
UNMATCHED::中兴智能,2022,0,1092
UNMATCHED::中国重型,2018,0,0
UNMATCHED::中国重型,2019,0,4292
UNMATCHED::中国重型,2020,0,712
UNMATCHED::中国重型,2021,0,3122
UNMATCHED::中国重型,2022,0,13336
UNMATCHED::中车时代电动,2019,0,13728
UNMATCHED::中车时代电动,2020,0,24331
UNMATCHED::中车时代电动,2021,0,17660
UNMATCHED::中车时代电动,2022,0,12084
UNMATCHED::丹东黄海,2018,0,104
UNMATCHED::丹东黄海,2019,0,2328
UNMATCHED::丹东黄海,2020,0,948
UNMATCHED::丹东黄海,2021,0,764
UNMATCHED::丹东黄海,2022,0,1652
UNMATCHED::云度新能源,2018,0,3360
UNMATCHED::云度新能源,2019,0,10352
UNMATCHED::云度新能源,2020,0,18661
UNMATCHED::云度新能源,2021,0,20560
UNMATCHED::云度新能源,2022,0,2016
UNMATCHED::云度汽车,2018,7344,0
UNMATCHED::云度汽车,2019,2566,0
UNMATCHED::云度汽车,2020,4470,0
UNMATCHED::云度汽车,2021,5361,0
UNMATCHED::云度汽车,2022,516,0
UNMATCHED::佛山市飞驰,2018,0,924
UNMATCHED::佛山市飞驰,2019,0,1552
UNMATCHED::佛山市飞驰,2020,0,1263
UNMATCHED::佛山市飞驰,2021,0,2324
UNMATCHED::佛山市飞驰,2022,0,744
