standard_name,enterprise_id,stock_code,stock_name
深圳市特力(集团)股份有限公司,1,,特力A
富奥汽车零部件股份有限公司,2,,富奥股份
潍柴动力股份有限公司,3,,潍柴动力
江铃汽车股份有限公司,4,,江铃汽车
万向钱潮股份公司,5,,万向钱潮
常柴股份有限公司,6,,苏常柴A
海马汽车股份有限公司,7,,海马汽车
无锡威孚高科技集团股份有限公司,8,,威孚高科
贵州轮胎股份有限公司,9,,贵州轮胎
青岛双星股份有限公司,10,,青岛双星
重庆长安汽车股份有限公司,11,,长安汽车
襄阳汽车轴承股份有限公司,12,,襄阳轴承
江南模塑科技股份有限公司,13,,模塑科技
四川浩物机电股份有限公司,14,,浩物股份
一汽解放集团股份有限公司,15,,一汽解放
江苏农华智慧农业科技股份有限公司,16,,智慧农业
安徽安凯汽车股份有限公司,17,,安凯客车
潍柴重机股份有限公司,18,,潍柴重机
安徽中鼎密封件股份有限公司,19,,中鼎股份
航天科技控股集团股份有限公司,20,,航天科技
昆明云内动力股份有限公司,21,,云内动力
浙江钱江摩托股份有限公司,22,,钱江摩托
中国重汽集团济南卡车股份有限公司,23,,中国重汽
中通客车股份有限公司,24,,中通客车
众泰汽车股份有限公司,25,,众泰汽车
山子高科技股份有限公司,26,,山子股份
中国中期投资股份有限公司,27,,中国中期
山东坤泰新材料科技股份有限公司,28,,坤泰股份
宁波一彬电子科技股份有限公司,29,,一彬科技
滁州多利汽车科技股份有限公司,30,,多利科技
铭科精技控股股份有限公司,31,,铭科精技
宁波华翔电子股份有限公司,32,,宁波华翔
浙江万丰奥威汽轮股份有限公司,33,,万丰奥威
广东鸿图科技股份有限公司,34,,广东鸿图
深圳信隆健康产业发展股份有限公司,35,,信隆健康
浙江银轮机械股份有限公司,36,,银轮股份
四川成飞集成科技股份有限公司,37,,成飞集成
奥特佳新能源科技股份有限公司,38,,奥特佳
云南西仪工业股份有限公司,39,,西仪股份
天润工业技术股份有限公司,40,,天润工业
浙江亚太机电股份有限公司,41,,亚太股份
上海新朋实业股份有限公司,42,,新朋股份
兴民智通(集团)股份有限公司,43,,兴民智通
山东隆基机械股份有限公司,44,,隆基机械
许昌远东传动轴股份有限公司,45,,远东传动
浙江万里扬股份有限公司,46,,万里扬
中原内配集团股份有限公司,47,,中原内配
上海加冷松芝汽车空调股份有限公司,48,,松芝股份
浙江双环传动机械股份有限公司,49,,双环传动
浙江金固股份有限公司,50,,金固股份
天津汽车模具股份有限公司,51,,天汽模
旷达科技集团股份有限公司,52,,旷达科技
飞龙汽车部件股份有限公司,53,,飞龙股份
海联金汇科技股份有限公司,54,,海联金汇
苏州春兴精工股份有限公司,55,,春兴精工
江苏南方精工股份有限公司,56,,南方精工
浙江万安科技股份有限公司,57,,万安科技
南宁八菱科技股份有限公司,58,,ST八菱
比亚迪股份有限公司,59,,比亚迪
北京威卡威汽车零部件股份有限公司,60,,京威股份
信质集团股份有限公司,61,,信质集团
浙江世宝股份有限公司,62,,浙江世宝
常州光洋轴承股份有限公司,63,,光洋股份
怀集登云汽配股份有限公司,64,,登云股份
浙江跃岭股份有限公司,65,,跃岭股份
浙农集团股份有限公司,66,,浙农股份
