时间,充电桩保有量,公共-充电桩保有量,公共-充电桩保有量-直流,公共-充电桩保有量-交流,直流保有量占比,充电桩保留量-私人,充电桩新增量,充电桩新增量-同比,充电桩新增量-环比,充电桩新增-公共,公共充电桩新增-直流,公共充电桩新增-交流,充电桩新增-私人,新能源汽车销量,车增量/桩增量,公共充电桩占比,新能源车保有量,车桩比,公桩-车桩比,私桩-车桩比,数据来源：中国充电联盟，公安部 单位：万桩,year,month,quarter,source_file,time_id
2020-12-31 00:00:00,168.05,80.7,0.0,0.0,0.0,87.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.480214221957751,492.0,2.92770008925915,6.09665427509294,5.63251287922152,未知,2020,未知,未知,新能源车数据库_充电桩-充电联盟.csv,236
2021-01-31 00:00:00,171.6,81.1,34.4,46.6,0.424167694204686,90.5,3.6,0.0,0.0,0.4,3.5,-3.2,3.2,17.9176,4.97711111111111,0.472610722610723,0.0,0.0,0.0,0.0,未知,2021,未知,未知,新能源车数据库_充电桩-充电联盟.csv,237
2021-02-28 00:00:00,175.8,83.7,34.9,48.8,0.416965352449223,92.1,4.1,0.0,0.0,2.6,0.5,2.2,1.5,10.9634,2.674,0.476109215017065,0.0,0.0,0.0,0.0,未知,2021,未知,未知,新能源车数据库_充电桩-充电联盟.csv,237
2021-03-31 00:00:00,178.8,85.1,35.5,49.5,0.417156286721504,93.7,3.0,0.0,0.0,1.3,0.600000000000001,0.700000000000003,1.7,22.5801,7.5267,0.475950782997763,0.0,0.0,0.0,0.0,未知,2021,未知,未知,新能源车数据库_充电桩-充电联盟.csv,237
2021-04-30 00:00:00,182.7,86.8,36.3,50.5,0.418202764976959,95.9,3.9,0.0,0.0,1.8,0.799999999999997,1.0,2.1,20.6206,5.28733333333333,0.475095785440613,0.0,0.0,0.0,0.0,未知,2021,未知,未知,新能源车数据库_充电桩-充电联盟.csv,237
2021-05-31 00:00:00,187.0,88.4,36.8,51.6,0.416289592760181,98.6,4.3,0.0,0.0,1.6,0.5,1.1,2.7,21.7386,5.05548837209302,0.472727272727273,0.0,0.0,0.0,0.0,未知,2021,未知,未知,新能源车数据库_充电桩-充电联盟.csv,237
2021-06-30 00:00:00,194.7,92.3,37.4,55.0,0.405200433369447,102.4,7.8,0.0,0.0,3.9,0.600000000000001,3.4,3.9,25.5747,3.27880769230769,0.474062660503339,603.0,3.09707241910632,6.53304442036836,5.888671875,未知,2021,未知,未知,新能源车数据库_充电桩-充电联盟.csv,237
2021-07-31 00:00:00,201.4,95.0,38.3,56.7,0.403157894736842,106.4,6.7,0.0,0.0,2.7,0.899999999999999,1.7,4.0,27.0576,4.03844776119403,0.471698113207547,0.0,0.0,0.0,0.0,未知,2021,未知,未知,新能源车数据库_充电桩-充电联盟.csv,237
2021-08-31 00:00:00,210.5,98.5,39.9,58.6,0.40507614213198,112.0,8.9,0.0,0.0,3.4,1.6,1.9,5.5,32.0974,3.60644943820225,0.467933491686461,0.0,0.0,0.0,0.0,未知,2021,未知,未知,新能源车数据库_充电桩-充电联盟.csv,237
2021-09-30 00:00:00,222.3,104.4,42.8,61.6,0.409961685823755,117.9,11.9,0.0,0.0,6.0,2.9,3.0,5.9,35.7474,3.00398319327731,0.469635627530364,0.0,0.0,0.0,0.0,未知,2021,未知,未知,新能源车数据库_充电桩-充电联盟.csv,237
