旧字段名,新字段名,所属文件
year,year,battery.csv
material_type,material_type,battery.csv
production,production,battery.csv
installation,installation,battery.csv
sales,sales,battery.csv
region,region,charging_pile.csv
year,year,charging_pile.csv
pile_type,pile_type,charging_pile.csv
pile_count,pile_count,charging_pile.csv
charging_volume,charging_volume,charging_pile.csv
stock_code,stock_code,enterprise_basic.csv
stock_name,stock_name,enterprise_basic.csv
company_name,company_name,enterprise_basic.csv
ipo_date,ipo_date,enterprise_basic.csv
province,province,enterprise_basic.csv
city,city,enterprise_basic.csv
industry_sw_level1,industry_sw_level1,enterprise_basic.csv
industry_sw_level2,industry_sw_level2,enterprise_basic.csv
industry_sw_level3,industry_sw_level3,enterprise_basic.csv
stock_code,stock_code,financials.csv
stock_name,stock_name,financials.csv
year,year,financials.csv
revenue,revenue,financials.csv
net_profit,net_profit,financials.csv
total_assets,total_assets,financials.csv
total_liabilities,total_liabilities,financials.csv
operating_cash_flow,operating_cash_flow,financials.csv
current_ratio,current_ratio,financials.csv
quick_ratio,quick_ratio,financials.csv
debt_asset_ratio,debt_asset_ratio,financials.csv
roe,roe,financials.csv
net_margin,net_margin,financials.csv
rd_expense,rd_expense,financials.csv
country,country,global_ev.csv
year,year,global_ev.csv
ev_type,ev_type,global_ev.csv
metric_name,metric_name,global_ev.csv
metric_value,metric_value,global_ev.csv
stock_code,stock_code,legal.csv
stock_name,stock_name,legal.csv
year,year,legal.csv
lawsuit_count,lawsuit_count,legal.csv
lawsuit_total_amount,lawsuit_total_amount,legal.csv
stock_code,stock_code,patent.csv
stock_name,stock_name,patent.csv
year,year,patent.csv
patent_type,patent_type,patent.csv
patent_count,patent_count,patent.csv
company,company,payment.csv
week_date,week_date,payment.csv
week,week,payment.csv
year,year,payment.csv
transaction_count,transaction_count,payment.csv
transaction_amount,transaction_amount,payment.csv
stock_code,stock_code,sales.csv
stock_name,stock_name,sales.csv
year,year,sales.csv
total_sales_volume,total_sales_volume,sales.csv
total_production_volume,total_production_volume,sales.csv
nev_sales_volume,nev_sales_volume,sales.csv
nev_production_volume,nev_production_volume,sales.csv
2014,2014,新能源车数据库_中国新能源汽车销量-中汽协.csv
2015,2015,新能源车数据库_中国新能源汽车销量-中汽协.csv
2016,2016,新能源车数据库_中国新能源汽车销量-中汽协.csv
2017,2017,新能源车数据库_中国新能源汽车销量-中汽协.csv
2018,2018,新能源车数据库_中国新能源汽车销量-中汽协.csv
2019,2019,新能源车数据库_中国新能源汽车销量-中汽协.csv
2020,2020,新能源车数据库_中国新能源汽车销量-中汽协.csv
2021,2021,新能源车数据库_中国新能源汽车销量-中汽协.csv
2022Q1,2022Q1,新能源车数据库_中国新能源汽车销量-中汽协.csv
2022H1,2022H1,新能源车数据库_中国新能源汽车销量-中汽协.csv
22年Q1-Q3,22年Q1-Q3,新能源车数据库_中国新能源汽车销量-中汽协.csv
2022,2022,新能源车数据库_中国新能源汽车销量-中汽协.csv
2023Q1,2023Q1,新能源车数据库_中国新能源汽车销量-中汽协.csv
2023,2023,新能源车数据库_中国新能源汽车销量-中汽协.csv
2024.0,2024.0,新能源车数据库_中国新能源汽车销量-中汽协.csv
乘联会新能源零售销量（万辆）,乘联会新能源零售销量（万辆）,新能源车数据库_中国新能源汽车销量-乘联会.csv
1月,1月,新能源车数据库_中国新能源汽车销量-乘联会.csv
2月,2月,新能源车数据库_中国新能源汽车销量-乘联会.csv
3月,3月,新能源车数据库_中国新能源汽车销量-乘联会.csv
4月,4月,新能源车数据库_中国新能源汽车销量-乘联会.csv
5月,5月,新能源车数据库_中国新能源汽车销量-乘联会.csv
6月,6月,新能源车数据库_中国新能源汽车销量-乘联会.csv
7月,7月,新能源车数据库_中国新能源汽车销量-乘联会.csv
8月,8月,新能源车数据库_中国新能源汽车销量-乘联会.csv
9月,9月,新能源车数据库_中国新能源汽车销量-乘联会.csv
10月,10月,新能源车数据库_中国新能源汽车销量-乘联会.csv
11月,11月,新能源车数据库_中国新能源汽车销量-乘联会.csv
12月,12月,新能源车数据库_中国新能源汽车销量-乘联会.csv
总计,总计,新能源车数据库_中国新能源汽车销量-乘联会.csv
时间,时间,新能源车数据库_充电桩-充电联盟.csv
充电桩保有量,充电桩保有量,新能源车数据库_充电桩-充电联盟.csv
公共-充电桩保有量,公共-充电桩保有量,新能源车数据库_充电桩-充电联盟.csv
公共-充电桩保有量-直流,公共-充电桩保有量-直流,新能源车数据库_充电桩-充电联盟.csv
公共-充电桩保有量-交流,公共-充电桩保有量-交流,新能源车数据库_充电桩-充电联盟.csv
直流保有量占比,直流保有量占比,新能源车数据库_充电桩-充电联盟.csv
充电桩保留量-私人,充电桩保留量-私人,新能源车数据库_充电桩-充电联盟.csv
充电桩新增量,充电桩新增量,新能源车数据库_充电桩-充电联盟.csv
充电桩新增量-同比,充电桩新增量-同比,新能源车数据库_充电桩-充电联盟.csv
充电桩新增量-环比,充电桩新增量-环比,新能源车数据库_充电桩-充电联盟.csv
充电桩新增-公共,充电桩新增-公共,新能源车数据库_充电桩-充电联盟.csv
公共充电桩新增-直流,公共充电桩新增-直流,新能源车数据库_充电桩-充电联盟.csv
公共充电桩新增-交流,公共充电桩新增-交流,新能源车数据库_充电桩-充电联盟.csv
充电桩新增-私人,充电桩新增-私人,新能源车数据库_充电桩-充电联盟.csv
新能源汽车销量,新能源汽车销量,新能源车数据库_充电桩-充电联盟.csv
车增量/桩增量,车增量/桩增量,新能源车数据库_充电桩-充电联盟.csv
公共充电桩占比,公共充电桩占比,新能源车数据库_充电桩-充电联盟.csv
新能源车保有量,新能源车保有量,新能源车数据库_充电桩-充电联盟.csv
车桩比,车桩比,新能源车数据库_充电桩-充电联盟.csv
公桩-车桩比,公桩-车桩比,新能源车数据库_充电桩-充电联盟.csv
私桩-车桩比,私桩-车桩比,新能源车数据库_充电桩-充电联盟.csv
数据来源：中国充电联盟，公安部 单位：万桩,数据来源：中国充电联盟，公安部_单位：万桩,新能源车数据库_充电桩-充电联盟.csv
全球新能源汽车销量(万辆),全球新能源汽车销量万辆,新能源车数据库_全球新能源乘用车销量.csv
YOY,YOY,新能源车数据库_全球新能源乘用车销量.csv
乘用车(万辆),乘用车万辆,新能源车数据库_全球新能源乘用车销量.csv
全球新能源汽车渗透率,全球新能源汽车渗透率,新能源车数据库_全球新能源乘用车销量.csv
德国,德国,新能源车数据库_德国新能源汽车销量.csv
2014年,2014年,新能源车数据库_德国新能源汽车销量.csv
2015年,2015年,新能源车数据库_德国新能源汽车销量.csv
2016年,2016年,新能源车数据库_德国新能源汽车销量.csv
2017年,2017年,新能源车数据库_德国新能源汽车销量.csv
2018年,2018年,新能源车数据库_德国新能源汽车销量.csv
2019年,2019年,新能源车数据库_德国新能源汽车销量.csv
2020年,2020年,新能源车数据库_德国新能源汽车销量.csv
2021H1,2021H1,新能源车数据库_德国新能源汽车销量.csv
2021年,2021年,新能源车数据库_德国新能源汽车销量.csv
2022H1,2022H1,新能源车数据库_德国新能源汽车销量.csv
2022年,2022年,新能源车数据库_德国新能源汽车销量.csv
2023H1,2023H1,新能源车数据库_德国新能源汽车销量.csv
2023,2023,新能源车数据库_德国新能源汽车销量.csv
2024H1,2024H1,新能源车数据库_德国新能源汽车销量.csv
2024,2024,新能源车数据库_德国新能源汽车销量.csv
意大利,意大利,新能源车数据库_意大利新能源汽车销量.csv
2014年,2014年,新能源车数据库_意大利新能源汽车销量.csv
2015年,2015年,新能源车数据库_意大利新能源汽车销量.csv
2016年,2016年,新能源车数据库_意大利新能源汽车销量.csv
2017年,2017年,新能源车数据库_意大利新能源汽车销量.csv
2018年,2018年,新能源车数据库_意大利新能源汽车销量.csv
2019年,2019年,新能源车数据库_意大利新能源汽车销量.csv
2020年,2020年,新能源车数据库_意大利新能源汽车销量.csv
2021H1,2021H1,新能源车数据库_意大利新能源汽车销量.csv
2021年,2021年,新能源车数据库_意大利新能源汽车销量.csv
2022H1,2022H1,新能源车数据库_意大利新能源汽车销量.csv
2022年,2022年,新能源车数据库_意大利新能源汽车销量.csv
2023H1,2023H1,新能源车数据库_意大利新能源汽车销量.csv
2023年,2023年,新能源车数据库_意大利新能源汽车销量.csv
2024H1,2024H1,新能源车数据库_意大利新能源汽车销量.csv
2024.0,2024.0,新能源车数据库_意大利新能源汽车销量.csv
挪威,挪威,新能源车数据库_挪威新能源汽车销量.csv
2014年,2014年,新能源车数据库_挪威新能源汽车销量.csv
2015年,2015年,新能源车数据库_挪威新能源汽车销量.csv
2016年,2016年,新能源车数据库_挪威新能源汽车销量.csv
2017年,2017年,新能源车数据库_挪威新能源汽车销量.csv
2018年,2018年,新能源车数据库_挪威新能源汽车销量.csv
2019年,2019年,新能源车数据库_挪威新能源汽车销量.csv
2020年,2020年,新能源车数据库_挪威新能源汽车销量.csv
2021H1,2021H1,新能源车数据库_挪威新能源汽车销量.csv
2021年,2021年,新能源车数据库_挪威新能源汽车销量.csv
2022H1,2022H1,新能源车数据库_挪威新能源汽车销量.csv
2022年,2022年,新能源车数据库_挪威新能源汽车销量.csv
2023H1,2023H1,新能源车数据库_挪威新能源汽车销量.csv
2023年,2023年,新能源车数据库_挪威新能源汽车销量.csv
2024H1,2024H1,新能源车数据库_挪威新能源汽车销量.csv
2024.0,2024.0,新能源车数据库_挪威新能源汽车销量.csv
中国新能源汽车销量（万辆）,中国新能源汽车销量（万辆）,新能源车数据库_新能源汽车销量汇总-中汽协乘联会.csv
中汽协,中汽协,新能源车数据库_新能源汽车销量汇总-中汽协乘联会.csv
销量:汽车（万辆）,销量:汽车（万辆）,新能源车数据库_新能源汽车销量汇总-中汽协乘联会.csv
YOY,YOY,新能源车数据库_新能源汽车销量汇总-中汽协乘联会.csv
销量:新能源汽车:累计值（万辆）,销量:新能源汽车:累计值（万辆）,新能源车数据库_新能源汽车销量汇总-中汽协乘联会.csv
YOY.1,YOY.1,新能源车数据库_新能源汽车销量汇总-中汽协乘联会.csv
新能源车渗透率,新能源车渗透率,新能源车数据库_新能源汽车销量汇总-中汽协乘联会.csv
新能源厂商销量,新能源厂商销量,新能源车数据库_核心新能源车企销量-月度.csv
2022-01-01 00:00:00,2022-01-01_00:00:00,新能源车数据库_核心新能源车企销量-月度.csv
2022-02-01 00:00:00,2022-02-01_00:00:00,新能源车数据库_核心新能源车企销量-月度.csv
2022-03-01 00:00:00,2022-03-01_00:00:00,新能源车数据库_核心新能源车企销量-月度.csv
2022-04-01 00:00:00,2022-04-01_00:00:00,新能源车数据库_核心新能源车企销量-月度.csv
2022-05-01 00:00:00,2022-05-01_00:00:00,新能源车数据库_核心新能源车企销量-月度.csv
2022-06-01 00:00:00,2022-06-01_00:00:00,新能源车数据库_核心新能源车企销量-月度.csv
2022-07-01 00:00:00,2022-07-01_00:00:00,新能源车数据库_核心新能源车企销量-月度.csv
2022-08-01 00:00:00,2022-08-01_00:00:00,新能源车数据库_核心新能源车企销量-月度.csv
2022-09-01 00:00:00,2022-09-01_00:00:00,新能源车数据库_核心新能源车企销量-月度.csv
2022-10-01 00:00:00,2022-10-01_00:00:00,新能源车数据库_核心新能源车企销量-月度.csv
2022-11-01 00:00:00,2022-11-01_00:00:00,新能源车数据库_核心新能源车企销量-月度.csv
2022-12-01 00:00:00,2022-12-01_00:00:00,新能源车数据库_核心新能源车企销量-月度.csv
总计,总计,新能源车数据库_核心新能源车企销量-月度.csv
2023年,2023年,新能源车数据库_核心新能源车企销量-月度.csv
法国,法国,新能源车数据库_法国新能源汽车销量.csv
2014年,2014年,新能源车数据库_法国新能源汽车销量.csv
2015年,2015年,新能源车数据库_法国新能源汽车销量.csv
2016年,2016年,新能源车数据库_法国新能源汽车销量.csv
2017年,2017年,新能源车数据库_法国新能源汽车销量.csv
2018年,2018年,新能源车数据库_法国新能源汽车销量.csv
2019年,2019年,新能源车数据库_法国新能源汽车销量.csv
2020年,2020年,新能源车数据库_法国新能源汽车销量.csv
2021H1,2021H1,新能源车数据库_法国新能源汽车销量.csv
2021年,2021年,新能源车数据库_法国新能源汽车销量.csv
2022H1,2022H1,新能源车数据库_法国新能源汽车销量.csv
2022年,2022年,新能源车数据库_法国新能源汽车销量.csv
2023H1,2023H1,新能源车数据库_法国新能源汽车销量.csv
2023,2023,新能源车数据库_法国新能源汽车销量.csv
2024H1,2024H1,新能源车数据库_法国新能源汽车销量.csv
2024.0,2024.0,新能源车数据库_法国新能源汽车销量.csv
瑞典,瑞典,新能源车数据库_瑞典新能源汽车销量.csv
2014年,2014年,新能源车数据库_瑞典新能源汽车销量.csv
2015年,2015年,新能源车数据库_瑞典新能源汽车销量.csv
2016年,2016年,新能源车数据库_瑞典新能源汽车销量.csv
2017年,2017年,新能源车数据库_瑞典新能源汽车销量.csv
2018年,2018年,新能源车数据库_瑞典新能源汽车销量.csv
2019年,2019年,新能源车数据库_瑞典新能源汽车销量.csv
2020年,2020年,新能源车数据库_瑞典新能源汽车销量.csv
2021H1,2021H1,新能源车数据库_瑞典新能源汽车销量.csv
2021年,2021年,新能源车数据库_瑞典新能源汽车销量.csv
2022H1,2022H1,新能源车数据库_瑞典新能源汽车销量.csv
2022年,2022年,新能源车数据库_瑞典新能源汽车销量.csv
2023H1,2023H1,新能源车数据库_瑞典新能源汽车销量.csv
2023年,2023年,新能源车数据库_瑞典新能源汽车销量.csv
2024H1,2024H1,新能源车数据库_瑞典新能源汽车销量.csv
2024.0,2024.0,新能源车数据库_瑞典新能源汽车销量.csv
,,新能源车数据库_纯电插混产销占比-中汽协.csv
动力类型,动力类型,新能源车数据库_纯电插混产销占比-中汽协.csv
1月,1月,新能源车数据库_纯电插混产销占比-中汽协.csv
2月,2月,新能源车数据库_纯电插混产销占比-中汽协.csv
3月,3月,新能源车数据库_纯电插混产销占比-中汽协.csv
4月,4月,新能源车数据库_纯电插混产销占比-中汽协.csv
5月,5月,新能源车数据库_纯电插混产销占比-中汽协.csv
6月,6月,新能源车数据库_纯电插混产销占比-中汽协.csv
7月,7月,新能源车数据库_纯电插混产销占比-中汽协.csv
8月,8月,新能源车数据库_纯电插混产销占比-中汽协.csv
9月,9月,新能源车数据库_纯电插混产销占比-中汽协.csv
10月,10月,新能源车数据库_纯电插混产销占比-中汽协.csv
11月,11月,新能源车数据库_纯电插混产销占比-中汽协.csv
12月,12月,新能源车数据库_纯电插混产销占比-中汽协.csv
总计,总计,新能源车数据库_纯电插混产销占比-中汽协.csv
【众鲤数据网】,【众鲤数据网】,新能源车数据库_纯电插混产销占比-中汽协.csv
英国,英国,新能源车数据库_英国新能源汽车销量.csv
2014年,2014年,新能源车数据库_英国新能源汽车销量.csv
2015年,2015年,新能源车数据库_英国新能源汽车销量.csv
2016年,2016年,新能源车数据库_英国新能源汽车销量.csv
2017年,2017年,新能源车数据库_英国新能源汽车销量.csv
