year,month,quarter,granularity,time_id
1993,1970-01-01 00:00:00.000000021,1970-01-01 00:00:00.000000007,year_month,1
1993,1970-01-01 00:00:00.000000029,1970-01-01 00:00:00.000000010,year_month,2
2007,1970-01-01 00:00:00.000000030,1970-01-01 00:00:00.000000010,year_month,3
1993,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000001,year_month,4
1994,1970-01-01 00:00:00.000000010,1970-01-01 00:00:00.000000004,year_month,5
1994,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000001,year_month,6
1994,1970-01-01 00:00:00.000000008,1970-01-01 00:00:00.000000003,year_month,7
1998,1970-01-01 00:00:00.000000024,1970-01-01 00:00:00.000000008,year_month,8
1996,1970-01-01 00:00:00.000000008,1970-01-01 00:00:00.000000003,year_month,9
1996,1970-01-01 00:00:00.000000030,1970-01-01 00:00:00.000000010,year_month,10
1997,1970-01-01 00:00:00.000000010,1970-01-01 00:00:00.000000004,year_month,11
1997,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000002,year_month,12
1997,1970-01-01 00:00:00.000000028,1970-01-01 00:00:00.000000010,year_month,13
1997,1970-01-01 00:00:00.000000027,1970-01-01 00:00:00.000000009,year_month,14
1997,1970-01-01 00:00:00.000000018,1970-01-01 00:00:00.000000006,year_month,15
1997,1970-01-01 00:00:00.000000025,1970-01-01 00:00:00.000000009,year_month,16
1998,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000001,year_month,17
1998,1970-01-01 00:00:00.000000003,1970-01-01 00:00:00.000000001,year_month,18
1999,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000001,year_month,19
1999,1970-01-01 00:00:00.000000015,1970-01-01 00:00:00.000000005,year_month,20
1999,1970-01-01 00:00:00.000000014,1970-01-01 00:00:00.000000005,year_month,21
1999,1970-01-01 00:00:00.000000025,1970-01-01 00:00:00.000000009,year_month,22
2000,1970-01-01 00:00:00.000000013,1970-01-01 00:00:00.000000005,year_month,23
2000,1970-01-01 00:00:00.000000016,1970-01-01 00:00:00.000000006,year_month,24
2000,1970-01-01 00:00:00.000000022,1970-01-01 00:00:00.000000008,year_month,25
2000,1970-01-01 00:00:00.000000018,1970-01-01 00:00:00.000000006,year_month,26
2023,1970-01-01 00:00:00.000000016,1970-01-01 00:00:00.000000006,year_month,27
2023,1970-01-01 00:00:00.000000008,1970-01-01 00:00:00.000000003,year_month,28
2023,1970-01-01 00:00:00.000000027,1970-01-01 00:00:00.000000009,year_month,29
2022,1970-01-01 00:00:00.000000012,1970-01-01 00:00:00.000000004,year_month,30
2005,1970-01-01 00:00:00.000000003,1970-01-01 00:00:00.000000001,year_month,31
2006,1970-01-01 00:00:00.000000028,1970-01-01 00:00:00.000000010,year_month,32
2006,1970-01-01 00:00:00.000000029,1970-01-01 00:00:00.000000010,year_month,33
2007,1970-01-01 00:00:00.000000012,1970-01-01 00:00:00.000000004,year_month,34
2007,1970-01-01 00:00:00.000000018,1970-01-01 00:00:00.000000006,year_month,35
2007,1970-01-01 00:00:00.000000003,1970-01-01 00:00:00.000000001,year_month,36
2008,1970-01-01 00:00:00.000000022,1970-01-01 00:00:00.000000008,year_month,37
2008,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000002,year_month,38
2009,1970-01-01 00:00:00.000000021,1970-01-01 00:00:00.000000007,year_month,39
2009,1970-01-01 00:00:00.000000028,1970-01-01 00:00:00.000000010,year_month,40
2009,1970-01-01 00:00:00.000000030,1970-01-01 00:00:00.000000010,year_month,41
2010,1970-01-01 00:00:00.000000009,1970-01-01 00:00:00.000000003,year_month,42
2010,1970-01-01 00:00:00.000000005,1970-01-01 00:00:00.000000002,year_month,43
2010,1970-01-01 00:00:00.000000018,1970-01-01 00:00:00.000000006,year_month,44
2010,1970-01-01 00:00:00.000000016,1970-01-01 00:00:00.000000006,year_month,45
2010,1970-01-01 00:00:00.000000020,1970-01-01 00:00:00.000000007,year_month,46
2010,1970-01-01 00:00:00.000000010,1970-01-01 00:00:00.000000004,year_month,47
2010,1970-01-01 00:00:00.000000021,1970-01-01 00:00:00.000000007,year_month,48
2010,1970-01-01 00:00:00.000000025,1970-01-01 00:00:00.000000009,year_month,49
2010,1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000000003,year_month,50
2011,1970-01-01 00:00:00.000000011,1970-01-01 00:00:00.000000004,year_month,51
2011,1970-01-01 00:00:00.000000010,1970-01-01 00:00:00.000000004,year_month,52
2011,1970-01-01 00:00:00.000000018,1970-01-01 00:00:00.000000006,year_month,53
2011,1970-01-01 00:00:00.000000025,1970-01-01 00:00:00.000000009,year_month,54
2011,1970-01-01 00:00:00.000000030,1970-01-01 00:00:00.000000010,year_month,55
2012,1970-01-01 00:00:00.000000009,1970-01-01 00:00:00.000000003,year_month,56
2012,1970-01-01 00:00:00.000000016,1970-01-01 00:00:00.000000006,year_month,57
2012,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000001,year_month,58
2014,1970-01-01 00:00:00.000000021,1970-01-01 00:00:00.000000007,year_month,59
2014,1970-01-01 00:00:00.000000019,1970-01-01 00:00:00.000000007,year_month,60
2014,1970-01-01 00:00:00.000000029,1970-01-01 00:00:00.000000010,year_month,61
2015,1970-01-01 00:00:00.000000027,1970-01-01 00:00:00.000000009,year_month,62
2015,1970-01-01 00:00:00.000000011,1970-01-01 00:00:00.000000004,year_month,63
2016,1970-01-01 00:00:00.000000012,1970-01-01 00:00:00.000000004,year_month,64
2017,1970-01-01 00:00:00.000000018,1970-01-01 00:00:00.000000006,year_month,65
2017,1970-01-01 00:00:00.000000015,1970-01-01 00:00:00.000000005,year_month,66
2017,1970-01-01 00:00:00.000000013,1970-01-01 00:00:00.000000005,year_month,67
